Date,AMZN
7/22/2016,744.859985
7/25/2016,739.609985
7/26/2016,735.590027
7/27/2016,736.669983
7/28/2016,752.609985
7/29/2016,758.809998
8/1/2016,767.73999
8/2/2016,760.580017
8/3/2016,754.640015
8/4/2016,760.77002
8/5/2016,765.97998
8/8/2016,766.559998
8/9/2016,768.309998
8/10/2016,768.559998
8/11/2016,771.23999
8/12/2016,772.559998
8/15/2016,768.48999
8/16/2016,764.039978
8/17/2016,764.630005
8/18/2016,764.460022
8/19/2016,757.309998
8/22/2016,759.47998
8/23/2016,762.450012
8/24/2016,757.25
8/25/2016,759.219971
8/26/2016,769
8/29/2016,771.289978
8/30/2016,767.580017
8/31/2016,769.159973
9/1/2016,770.619995
9/2/2016,772.440002
9/6/2016,788.869995
9/7/2016,784.47998
9/8/2016,784.059998
9/9/2016,760.140015
9/12/2016,771.48999
9/13/2016,761.01001
9/14/2016,761.090027
9/15/2016,769.690002
9/16/2016,778.52002
9/19/2016,775.099976
9/20/2016,780.219971
9/21/2016,789.73999
9/22/2016,804.700012
9/23/2016,805.75
9/26/2016,799.159973
9/27/2016,816.109985
9/28/2016,828.719971
9/29/2016,829.049988
9/30/2016,837.309998
10/3/2016,836.73999
10/4/2016,834.030029
10/5/2016,844.359985
10/6/2016,841.659973
10/7/2016,839.429993
10/10/2016,841.710022
10/11/2016,831
10/12/2016,834.090027
10/13/2016,829.280029
10/14/2016,822.960022
10/17/2016,812.950012
10/18/2016,817.650024
10/19/2016,817.690002
10/20/2016,810.320007
10/21/2016,818.98999
10/24/2016,838.090027
10/25/2016,835.179993
10/26/2016,822.590027
10/27/2016,818.359985
10/28/2016,776.320007
10/31/2016,789.820007
11/1/2016,785.409973
11/2/2016,765.559998
11/3/2016,767.030029
11/4/2016,755.049988
11/7/2016,784.929993
11/8/2016,787.75
11/9/2016,771.880005
11/10/2016,742.380005
11/11/2016,739.01001
11/14/2016,719.070007
11/15/2016,743.23999
11/16/2016,746.48999
11/17/2016,756.400024
11/18/2016,760.159973
11/21/2016,780
11/22/2016,785.330017
11/23/2016,780.119995
11/25/2016,780.369995
11/28/2016,766.77002
11/29/2016,762.52002
11/30/2016,750.570007
12/1/2016,743.650024
12/2/2016,740.340027
12/5/2016,759.359985
12/6/2016,764.719971
12/7/2016,770.419983
12/8/2016,767.330017
12/9/2016,768.659973
12/12/2016,760.119995
12/13/2016,774.340027
12/14/2016,768.820007
12/15/2016,761
12/16/2016,757.77002
12/19/2016,766
12/20/2016,771.219971
12/21/2016,770.599976
12/22/2016,766.340027
12/23/2016,760.590027
12/27/2016,771.400024
12/28/2016,772.130005
12/29/2016,765.150024
12/30/2016,749.869995
1/3/2017,753.669983
1/4/2017,757.179993
1/5/2017,780.450012
1/6/2017,795.98999
1/9/2017,796.919983
1/10/2017,795.900024
1/11/2017,799.02002
1/12/2017,813.640015
1/13/2017,817.140015
1/17/2017,809.719971
1/18/2017,807.47998
1/19/2017,809.039978
1/20/2017,808.330017
1/23/2017,817.880005
1/24/2017,822.440002
1/25/2017,836.52002
1/26/2017,839.150024
1/27/2017,835.77002
1/30/2017,830.380005
1/31/2017,823.47998
2/1/2017,832.349976
2/2/2017,839.950012
2/3/2017,810.200012
2/6/2017,807.640015
2/7/2017,812.5
2/8/2017,819.710022
2/9/2017,821.359985
2/10/2017,827.460022
2/13/2017,836.530029
2/14/2017,836.390015
2/15/2017,842.700012
2/16/2017,844.140015
2/17/2017,845.070007
2/21/2017,856.440002
2/22/2017,855.609985
2/23/2017,852.190002
2/24/2017,845.23999
2/27/2017,848.640015
2/28/2017,845.039978
3/1/2017,853.080017
3/2/2017,848.909973
3/3/2017,849.880005
3/6/2017,846.609985
3/7/2017,846.02002
3/8/2017,850.5
